,SessionID,UsrID,Cell,School,Channel,PackageConsulted,Focus,ConsultedPKG_Price,Discount_x,Date_Consulted,City,ProductSold,Sold,Discount_y,PriceSold,Consent
0,F6B1637A04DF,5.97761E+11,No,YU,Scan Code,Introductory Lectures Only,FIN,120,0,2019-02-15,North York,,No,,,
1,A75F28AF6777,5.51915E+11,No,UTMISS,Scan Code,Documents and Projects Only,FIN,300,0,2019-03-19,Mississauga,,No,,,
2,E1CFE2C97373,5.26787E+11,No,UTSCAR,Scan Code,Project Practise Only,DAT,120,0,2019-05-01,Scarborough,,No,,,
3,D5FD89F8F811,7078438550,Yes,UTMISS,Scan Code,Project Practise Only,DAT,120,0,2019-01-29,,Introductory Lectures Only,Yes,1,120,1
4,1BB5219B9FA9,6.56064E+11,Yes,MU,Scan Code,Project Practise Only,DAT,120,0,2019-02-09,Hamilton,,No,,,
5,CD7E4B0A0E38,5.96881E+11,No,UW,Scan Code,Documents and Projects Only,DAT,300,0,2019-01-24,Waterloo,,No,,,
6,26CC8810340D,8.16238E+11,No,YU,Scan Code,Introductory Lectures Only,DAT,120,0,2019-01-20,North York,,No,,,
7,7D905579CAD8,8.37295E+11,No,MU,Scan Code,Introductory Lectures Only,DAT,120,0,2019-03-30,Hamilton,,No,,,
8,FDC8881E40CE,1.14946E+11,No,YU,Social Media,Introductory Lectures Only,BOTH,120,0,2019-03-19,North York,,No,,,
9,4D1E34A6F02D,5.59808E+11,Yes,UTMISS,Scan Code,Introductory Lectures Only,FIN,120,0,2019-01-26,Mississauga,,No,,,
10,B52883A3CDD0,6.54954E+11,No,UTSCAR,Scan Code,Project Practise Only,BOTH,120,0,,Toronto,,No,,,
11,000803D4FB6A,9.64204E+11,Yes,UTDT,Scan Code,Full Package,BOTH,350,0,2019-03-24,Toronto,,No,,,
12,08595672EECA,5.27376E+11,No,UTDT,Web/Articles,Project Practise Only,BOTH,120,0,2019-08-02,Toronto,,No,,,
13,B6A5A111BF37,2.70888E+11,Yes,UTDT,Social Media,Full Package,DAT,350,0,2019-03-28,Toronto,,No,,,
14,B7D280A1FD35,1.64435E+11,No,UTSCAR,Social Media,Full Package,FIN,350,0,2019-01-21,Scarborough,,No,,,
15,AADF4976A93E,9.3208E+11,No,UTMISS,Marketing Sessions,Project Practise Only,DAT,120,0,,,,No,,,
16,DD874688C5F1,8.47879E+11,No,UTDT,Web/Articles,Introductory Lectures Only,BOTH,120,0,2019-06-01,Toronto,,No,,,
17,AFAA8D60B979,4.64233E+11,Yes,MU,Scan Code,Introductory Lectures Only,DAT,120,0,2019-03-14,Hamilton,,No,,,
18,AA4FEF5AC0E4,23210547229,No,UTDT,Social Media,Introductory Lectures Only,BOTH,120,0,2019-01-03,Toronto,,No,,,
19,2369102D8A13,8.21397E+11,Yes,UTDT,Scan Code,Introductory Lectures Only,FIN,120,0,2019-08-02,,,No,,,
20,017D1D469EB1,9.03203E+11,No,MU,Marketing Sessions,Introductory Lectures Only,FIN,120,0,2019-06-02,Toronto,,No,,,
21,A7D67D08AF68,7.6149E+11,Yes,UW,Marketing Sessions,Introductory Lectures Only,BOTH,120,0,2019-02-28,Waterloo,Project Practise Only,Yes,1,120,1
22,2FEB11283F19,6.27376E+11,No,UW,Scan Code,Full Package,FIN,350,0,2019-03-27,Toronto,,No,,,
23,449C57074EA3,3.56068E+11,No,UW,Social Media,Project Practise Only,DAT,120,0,2019-02-09,Toronto,,No,,,
24,2A6E026C24DC,6.38478E+11,No,MU,Marketing Sessions,Introductory Lectures Only,DAT,120,0,2019-01-29,Hamilton,,No,,,
